DATE,CLVMNACSCAB1GQUK
1975-01-01,180405.0
1975-04-01,177442.3
1975-07-01,176835.5
1975-10-01,178863.1
1976-01-01,181693.7
1976-04-01,181393.5
1976-07-01,183664.4
1976-10-01,187560.4
1977-01-01,187613.7
1977-04-01,186310.5
1977-07-01,187608.3
1977-10-01,190827.0
1978-01-01,192529.0
1978-04-01,194771.8
1978-07-01,197449.6
1978-10-01,199240.3
1979-01-01,198533.1
1979-04-01,207302.7
1979-07-01,202701.3
1979-10-01,204845.6
1980-01-01,202901.2
1980-04-01,198842.4
1980-07-01,198646.1
1980-10-01,196470.2
1981-01-01,196223.3
1981-04-01,196624.9
1981-07-01,198742.9
1981-10-01,198991.6
1982-01-01,199378.6
1982-04-01,201503.9
1982-07-01,202025.7
1982-10-01,203445.6
1983-01-01,207170.7
1983-04-01,208942.3
1983-07-01,211229.5
1983-10-01,213054.5
1984-01-01,214529.5
1984-04-01,212651.1
1984-07-01,214026.7
1984-10-01,218259.1
1985-01-01,220048.9
1985-04-01,224709.1
1985-07-01,224905.3
1985-10-01,225448.8
1986-01-01,228005.5
1986-04-01,229697.6
1986-07-01,230743.0
1986-10-01,234865.1
1987-01-01,237048.3
1987-04-01,240525.6
1987-07-01,246369.6
1987-10-01,249159.6
1988-01-01,253600.0
1988-04-01,255094.9
1988-07-01,258980.1
1988-10-01,261210.3
1989-01-01,262361.5
1989-04-01,264088.9
1989-07-01,264352.0
1989-10-01,264603.4
1990-01-01,266386.8
1990-04-01,267755.2
1990-07-01,264959.8
1990-10-01,264048.2
1991-01-01,263277.6
1991-04-01,262945.7
1991-07-01,262371.5
1991-10-01,262827.3
1992-01-01,262846.3
1992-04-01,262536.1
1992-07-01,264208.2
1992-10-01,266048.6
1993-01-01,267973.1
1993-04-01,269301.6
1993-07-01,271423.3
1993-10-01,273224.8
1994-01-01,276437.1
1994-04-01,279663.0
1994-07-01,282859.0
1994-10-01,284574.6
1995-01-01,285782.8
1995-04-01,286839.1
1995-07-01,289489.8
1995-10-01,289862.4
1996-01-01,292524.0
1996-04-01,293565.8
1996-07-01,296152.3
1996-10-01,298434.0
1997-01-01,302554.3
1997-04-01,305166.1
1997-07-01,307409.0
1997-10-01,311059.9
1998-01-01,313759.4
1998-04-01,316527.7
1998-07-01,318689.1
1998-10-01,321906.0
1999-01-01,323936.3
1999-04-01,324604.6
1999-07-01,330573.4
1999-10-01,335336.7
2000-01-01,337891.6
2000-04-01,339782.6
2000-07-01,340711.4
2000-10-01,341247.7
2001-01-01,346129.4
2001-04-01,349025.2
2001-07-01,351806.2
2001-10-01,353112.1
2002-01-01,354675.7
2002-04-01,356471.8
2002-07-01,359192.1
2002-10-01,362277.8
2003-01-01,364682.5
2003-04-01,368096.5
2003-07-01,371889.4
2003-10-01,375029.4
2004-01-01,377068.8
2004-04-01,378418.1
2004-07-01,379045.7
2004-10-01,380292.8
2005-01-01,383488.9
2005-04-01,388256.7
2005-07-01,392679.0
2005-10-01,398569.2
2006-01-01,400160.9
2006-04-01,401167.4
2006-07-01,401579.8
2006-10-01,403666.2
2007-01-01,407433.8
2007-04-01,409959.7
2007-07-01,413142.2
2007-10-01,415088.4
2008-01-01,417340.2
2008-04-01,415025.1
2008-07-01,408535.3
2008-10-01,400097.6
2009-01-01,393106.8
2009-04-01,392150.0
2009-07-01,392428.5
2009-10-01,393606.0
2010-01-01,396113.8
2010-04-01,400083.1
2010-07-01,402736.5
2010-10-01,402991.5
2011-01-01,405528.3
2011-04-01,405931.6
2011-07-01,407190.5
2011-10-01,407947.5
2012-01-01,410572.9
2012-04-01,410249.1
2012-07-01,415235.8
2012-10-01,414597.3
2013-01-01,417269.7
2013-04-01,419506.2
2013-07-01,423473.7
2013-10-01,425721.9
2014-01-01,428527.3
2014-04-01,431337.1
2014-07-01,433821.4
2014-10-01,436247.9
2015-01-01,438545.8
2015-04-01,441673.2
2015-07-01,443572.3
2015-10-01,446887.7
2016-01-01,447631.1
2016-04-01,450006.9
2016-07-01,452035.4
2016-10-01,454971.9
2017-01-01,457594.5
2017-04-01,458744.9
2017-07-01,460306.7
2017-10-01,462144.4
2018-01-01,462419.3
2018-04-01,464854.8
2018-07-01,467584.2
2018-10-01,468585.3
2019-01-01,471589.6
2019-04-01,471078.7
2019-07-01,473402.9
2019-10-01,473515.9
